Appellation,Robert,J.Robinson,J.Suckling,Prix
Sauternes,None,18.5,98.0,375.0
Saint-Julien,None,16.5,94.0,89.0
Castillon Côtes de Bordeaux,None,16.0,92.0,23.0
Saint-Julien,None,16.5,93.0,64.0
Saint-Estèphe,None,16.0,94.0,43.0
Castillon Côtes de Bordeaux,None,None,None,45.67
Saint-Estèphe,None,16.5,95.0,49.0
Saint-Emilion,None,17.0,93.0,125.0
Barsac,None,16.0,94.0,45.83
Saint-Julien,None,16.5,96.0,46.0
Pauillac,None,None,91.5,32.25
Castillon Côtes de Bordeaux,None,16.0,None,50.0
Pomerol,None,15.5,96.0,59.0
Pessac-Léognan,None,16.0,95.0,39.5
Saint-Estèphe,None,17.5,94.0,35.0
Saint-Emilion,None,16.0,94.0,85.0
Pessac-Léognan,None,17.5,98.0,90.0
Médoc,None,16.5,96.0,30.67
Pomerol,None,None,93.0,63.0
Saint-Emilion,None,16.0,95.0,39.0
Pomerol,None,16.0,97.0,57.17
Saint-Julien,None,None,None,26.0
Castillon Côtes de Bordeaux,None,16.0,92.5,24.5
Saint-Estèphe,None,17.0,95.0,37.0
Montagne-Saint-Emilion,None,None,89.5,12.0
Haut-Médoc,None,None,91.5,11.33
Margaux,None,17.0,95.0,67.0
Sauternes,None,None,None,25.5
Pessac-Léognan,None,18.5,100.0,740.0
Lalande de Pomerol,None,None,91.0,21.0
Saint-Emilion,None,None,92.0,35.0
Listrac,None,16.0,90.5,16.33
Médoc,None,15.0,90.0,29.0
Saint-Emilion,None,18.0,99.0,240.0
Pauillac,None,17.5,98.0,249.67
Fronsac,None,None,89.5,13.5
Pessac-Léognan,None,16.5,93.0,41.0
Pessac-Léognan,None,15.5,93.0,47.0
Pauillac,None,17.5,96.0,279.0
Haut-Médoc,None,14.5,91.0,17.5
Saint-Estèphe,None,None,None,20.0
Pauillac,None,16.0,92.5,31.5
Pauillac,None,16.5,96.0,85.0
Saint-Emilion,None,16.5,98.0,120.0
Saint-Estèphe,None,14.0,94.0,43.33
Pomerol,None,None,92.0,90.0
Haut-Médoc,None,16.0,92.0,35.0
Saint-Emilion,None,15.5,None,40.0
Saint-Emilion,None,16.0,94.0,55.0
Haut-Médoc,None,16.0,94.0,32.0
Haut-Médoc,None,None,95.0,43.67
Sauternes,None,16.0,95.0,58.0
Fronsac,None,15.5,92.0,24.0
Haut-Médoc,None,None,94.5,33.0
Margaux,None,16.5,94.0,28.08
Pomerol,None,16.0,94.0,105.0
Pomerol,None,17.0,95.0,99.0
Pomerol,None,17.5,93.0,130.0
Castillon Côtes de Bordeaux,None,16.5,94.0,27.5
Saint-Estèphe,None,16.5,98.0,265.0
Saint-Emilion,None,14.5,92.0,35.0
Fronsac,None,15.5,91.5,19.0
Saint-Emilion,None,16.0,97.0,107.0
Pessac-Léognan,None,17.5,98.0,775.0
Pauillac,None,17.0,96.5,79.0
Pauillac,None,17.0,99.0,1.0
Canon-Fronsac,None,None,91.0,27.0
Pessac-Léognan,None,16.5,93.0,35.0
Saint-Julien,None,17.5,97.0,69.0
Listrac,None,15.5,89.0,15.0
Bordeaux,None,None,None,10.42
Barsac,None,16.5,92.0,45.0
Haut-Médoc,None,16.0,88.5,16.0
Saint-Emilion,None,15.5,None,38.0
Saint-Estèphe,None,None,94.5,42.0
Saint-Emilion,None,15.5,93.0,24.5
Saint-Emilion,None,16.0,91.0,25.5
Saint-Emilion,None,16.0,93.5,30.5
Bordeaux Blancs Secs,None,None,None,12.5
Saint-Estèphe,None,16.5,93.0,29.0
Bordeaux Blancs Secs,None,None,None,22.33
Haut-Médoc,None,None,92.0,21.0
Pomerol,None,16.0,93.0,39.0
Saint-Julien,None,16.5,93.5,32.5
Saint-Emilion,None,15.5,95.0,38.0
Pomerol,None,None,None,38.0
Saint-Julien,None,16.5,94.0,55.0
Pauillac,None,17.0,93.0,56.0
Pessac-Léognan,None,18.0,98.0,799.33
Saint-Emilion,None,16.0,93.0,28.5
Saint-Emilion,None,16.5,97.0,114.33
Pomerol,None,16.5,93.0,107.0
Pauillac,None,16.0,93.0,254.0
Pomerol,None,16.5,96.0,99.0
Pomerol,None,None,94.0,85.0
Margaux,None,16.0,93.0,52.0
Pessac-Léognan,None,16.5,99.5,153.0
Bordeaux,None,None,None,8.67
Margaux,None,None,97.0,70.67
Saint-Emilion,None,16.0,97.0,110.0
Haut-Médoc,None,None,None,33.5
Pomerol,None,16.5,94.0,72.83
Saint-Emilion,None,15.5,88.5,21.0
Pauillac,None,None,92.5,33.0
Saint-Emilion,None,15.5,94.0,23.5
Saint-Emilion,None,15.5,92.0,22.5
